"","GC_E18_2","GC_E18_3","GC_E18_4","GC_E18_5","GC_E18_6","GC_P0_1","GC_P0_2","GC_P0_3","GC_P0_4","GC_P0_5","GC_P0_6","GC_P3_1","GC_P3_2","GC_P3_3","GC_P3_4","GC_P3_5","GC_P3_6","GC_P6_1","GC_P6_2","GC_P6_3","GC_P6_4","GC_P6_5","GC_P6_6","GC_P9_1","GC_P9_2","GC_P9_3","GC_P9_4","GC_P9_5","GC_P9_6"
"Label","E18","E18","E18","E18","E18","P0","P0","P0","P0","P0","P0","P3","P3","P3","P3","P3","P3","P6","P6","P6","P6","P6","P6","P9","P9","P9","P9","P9","P9"
"Vps35","20.58220","20.89822","20.45420","20.64333","20.57833","21.91814","21.20047","21.41515","19.41212","19.93105","21.53365","21.30598","21.21292","21.58472","21.53985","21.07721","20.85441","21.61410","22.32727","22.09833","22.07044","22.63832","22.63832","22.03731","22.67317","22.53462","22.02631","22.07044","22.92114"
"Ctnnb1","20.50517","20.61073","19.95233","20.26775","21.31524","20.89822","21.75754","21.66337","20.87114","21.73328","20.19800","17.46424","19.73487","19.84557","19.45601","19.32401","19.79999","20.34849","20.34540","20.37002","18.73295","20.58220","20.28256","18.06029","18.86661","19.24392","19.87269","17.93828","18.40417"
"Eif3a","22.04546","21.88020","21.57602","21.86988","22.18833","19.69402","20.98786","20.94534","20.62623","20.18358","19.11284","22.26593","22.26593","22.56226","22.37933","22.49364","22.24687","21.60611","21.50033","21.98092","21.39569","21.64754","21.32202","21.67073","21.29933","20.71619","21.39569","20.28256","20.44212"
"Cct3","23.54756","23.52969","23.58888","23.71670","23.44427","22.79950","22.89579","23.06784","23.20028","22.58822","22.32727","22.02631","22.28634","21.50412","21.99434","22.72633","22.21308","23.41118","23.29628","23.10442","23.08408","23.44427","23.03101","22.04546","21.76818","21.64754","21.79893","21.00421","21.04641"
"Acly","22.54699","22.37933","22.22069","21.91814","22.28634","21.57602","21.27672","20.71048","21.55624","21.86988","21.83092","21.16617","21.59757","21.54945","21.04994","21.24359","21.67073","21.88752","22.19673","22.54699","21.86021","22.06233","22.00921","22.22069","21.44549","21.79893","21.76818","21.57602","21.86021"
"Cfl1","25.37105","25.54147","25.61572","25.26410","25.41426","25.26410","25.47288","25.02561","24.81568","25.09717","25.47288","24.60664","24.11541","24.60664","23.58888","24.23919","24.63682","24.57441","24.74923","24.50763","24.50763","24.63682","24.74923","24.63682","25.02561","25.14815","24.66387","24.48560","25.22324"
"Prdx2","24.48560","24.26586","24.60664","24.81568","24.78624","24.57441","24.38388","24.70272","23.42883","23.56942","23.71670","22.56226","22.68458","22.46732","22.40693","22.60278","22.56226","24.23919","24.19309","24.38388","24.34979","24.11541","24.26586","23.31487","23.75876","23.18063","23.38328","23.54756","23.58888"
"Rpsa","22.89579","22.44004","22.25656","22.94509","23.39383","22.67317","22.54699","22.64942","22.37933","23.08408","23.00513","24.97288","24.97288","24.30285","24.81568","24.63682","24.70272","23.06784","23.01886","23.18063","23.04418","23.03101","23.01886","23.13485","22.79950","23.44427","23.23796","23.38328","23.10442"
"Gprin1","23.06784","23.14783","22.97600","23.08408","23.04418","22.68458","22.60278","23.20028","21.53985","21.93380","22.02631","21.34865","21.37194","20.97205","21.53365","21.15554","21.35516","23.71670","23.54756","23.56942","23.56942","23.61678","23.66273","22.23269","24.42473","20.87114","24.34979","20.77948","20.94028"
"Cct5","23.50334","23.54756","23.52969","23.56942","23.66273","22.46732","22.97600","22.48292","22.70659","22.11457","22.40693","22.13300","22.17499","22.24687","22.56226","22.75162","22.35109","23.10442","23.11948","23.58888","22.89579","23.24972","23.26437","21.91073","21.57602","21.03201","21.93380","21.70348","22.74305"
"Gnai2","24.23919","24.30285","24.26586","24.00718","24.45292","23.84364","23.75876","23.58888","22.28634","22.40693","23.21334","21.53365","21.54945","20.10784","20.88217","21.50033","20.86071","23.58888","23.71670","23.64399","23.54756","23.73098","23.28264","22.45747","21.84371","21.81556","22.48292","22.01899","21.91073"
"Hsp90b1","22.58822","22.56226","22.52657","22.92114","22.79950","22.92114","22.11457","21.52652","21.58472","22.28634","22.22069","17.46424","17.46424","20.64874","20.09362","17.45309","20.41178","23.14783","22.74305","22.14105","22.72633","22.52657","23.39383","20.26466","18.79453","19.11284","17.94327","20.61073","20.24274"
"Eef1a2","17.90849","19.43702","18.62344","18.51670","18.63860","16.22936","20.08735","16.12607","16.96361","20.64874","19.37985","19.78708","17.46424","19.51799","19.98552","20.77237","17.39907","19.86546","19.77651","20.81648","19.29896","19.93856","19.17122","20.73568","21.68722","21.88752","21.85199","22.39282","24.11541"
"Ctnna2","21.02646","21.52652","21.47228","20.30188","20.52636","22.07521","21.51931","22.25656","21.20047","20.14354","22.00020","19.55145","20.59288","20.63760","19.93856","19.87015","19.74390","22.02631","21.82088","21.35994","21.10173","21.67073","21.25297","17.88633","17.98083","16.50828","17.00647","16.45865","16.29927"
"Actr1a","23.13485","23.21334","23.04418","23.26437","23.16576","21.50033","22.49364","22.68458","22.85531","22.68458","23.03101","23.75876","23.52969","23.75876","23.48110","23.69025","23.80862","22.48292","21.75197","21.65434","22.17499","22.67317","22.07521","21.85199","22.12459","22.79950","22.05427","22.19673","22.77494"
"Cct6a","23.44427","23.44427","23.50334","23.39383","23.50334","23.26437","22.87087","23.00513","22.95782","22.67317","23.38328","22.07044","22.89579","21.95762","22.00921","22.53462","22.64942","23.18063","23.34424","23.13485","23.48110","23.18063","23.50334","21.61984","21.22602","21.75754","22.21308","22.20564","22.44004"
"Afp","23.01886","23.04418","23.21334","22.83681","23.32988","22.25656","22.20564","21.61984","22.23269","22.26593","22.17499","17.46424","17.46424","17.44687","17.47046","17.45309","17.39907","21.77747","21.70348","20.70531","20.10109","20.65261","20.26466","18.00835","19.13844","19.56846","19.04437","18.16030","18.19580"
"Akap12","21.01657","20.55482","20.13181","20.13181","19.70566","20.50021","20.16970","21.17670","19.38255","19.18289","19.00338","19.82317","20.56552","19.97666","19.87015","19.71599","20.05499","22.94509","22.64942","22.26593","22.62777","22.16226","22.94509","20.55896","19.23499","16.50828","19.72870","18.86029","18.21323"
"Calr","23.71670","24.19309","24.06793","24.11541","23.91029","24.38388","23.50334","23.79142","23.71670","25.14815","24.70272","22.39282","21.42009","21.25297","20.19800","21.54945","21.13570","22.68458","22.44780","22.42061","22.09833","22.79950","22.71628","22.24687","22.44004","22.76514","22.68458","23.71670","23.38328"
"Syn1","21.34865","20.83045","21.28949","20.77237","20.42672","21.52652","20.92297","21.75754","21.03878","21.55624","21.41194","21.11363","20.75624","21.22057","21.38600","20.75624","21.13179","22.49364","22.14105","21.99434","22.14105","22.08514","21.88020","23.45905","23.06784","22.92114","23.11948","22.51319","23.45905"
"Gnaq","24.45292","24.70272","24.30285","24.54995","24.74923","24.06793","24.19309","23.91029","23.34424","24.38388","24.57441","23.24972","22.48292","23.04418","22.97600","22.87087","23.23796","23.66273","23.73098","23.75876","23.58888","23.97166","23.75876","22.61579","22.50433","22.56226","22.67317","21.47228","22.00921"
"Hspa4","21.58472","21.55624","22.39282","21.69790","21.72312","21.76818","21.36460","21.82088","20.76381","20.36633","20.34540","20.73568","21.53365","21.13570","19.90880","21.28949","19.92121","22.58822","22.18833","22.37933","22.37173","22.11457","22.19673","21.98092","21.66337","21.95762","22.27738","21.22602","20.16527"
"Rpl4","22.48292","22.28634","21.79070","22.93515","22.08514","20.59288","21.58472","21.85199","19.21804","19.81198","21.38114","24.78624","24.42473","24.57441","24.57441","24.54995","24.48560","22.70659","22.30250","22.06233","22.20564","22.34014","22.29354","22.62777","22.56226","22.24687","22.07521","21.07721","21.01657"
"Dcx","23.64399","23.66273","23.64399","23.45905","23.34424","24.48560","23.41118","24.30285","23.58888","24.19309","23.97166","22.60278","22.27738","22.39282","22.35109","22.46732","22.78663","23.97166","23.66273","23.41118","23.73098","23.79142","23.41118","21.55624","19.35366","16.50828","20.07307","19.62610","19.94831"
"Ap2a2","23.16576","22.97600","22.62777","22.87087","22.92114","23.54756","21.98092","23.45905","23.56942","23.54756","23.58888","21.47962","20.98120","20.83714","21.37194","21.61410","21.54945","22.24687","22.48292","22.52657","22.44004","22.68458","22.03731","22.07521","22.07044","22.08514","22.36222","20.99555","22.17499"
"Prkar2b","22.61579","22.65957","22.79950","22.77494","22.42061","23.06784","22.74305","22.89579","22.32727","22.10554","22.70659","20.95697","21.34865","21.11363","20.43582","20.65261","20.31997","23.34424","23.39383","23.38328","23.26437","23.38328","23.04418","21.79893","21.96829","21.62792","22.35109","21.35516","21.33497"
"Canx","23.04418","22.92114","22.90556","22.34014","23.24972","22.21308","22.43105","22.37173","21.83766","22.37173","22.54699","20.74182","20.92297","20.81988","20.61716","21.27672","20.27791","22.87087","22.37933","22.28634","22.60278","22.60278","23.11948","22.42061","21.56904","20.41178","21.22602","21.83092","21.53985"
"Ywhaq","24.38388","23.94235","24.11541","23.97166","23.79142","24.63682","23.66273","24.00718","24.34979","24.63682","24.30285","21.41194","21.36460","21.00853","20.96765","20.76381","21.58472","24.93085","24.93085","24.74923","24.97288","24.97288","24.78624","25.02561","24.78624","23.54756","24.26586","24.93085","24.19309"
"Camk2b","21.94522","22.25656","22.26593","22.08514","22.13300","22.83681","23.10442","22.87087","24.19309","23.88555","23.39383","21.74633","21.76818","20.33492","21.68722","21.61984","21.57602","22.42061","22.81324","22.72633","22.83681","23.11948","23.14783","22.90556","23.61678","24.19309","23.56942","23.61678","24.74923"
"Tkt","22.00921","22.42061","22.54699","23.23796","22.43105","22.95782","22.68458","22.56226","23.03101","21.64754","22.60278","22.15594","21.98092","20.52636","21.47228","22.65957","22.00020","22.75162","22.65957","22.76514","22.46732","23.00513","22.81324","22.00020","22.30250","21.92660","22.20564","22.97600","23.64399"
"Pgam1","22.74305","22.89579","22.72633","23.73098","23.06784","23.52969","23.18063","23.32988","22.77494","22.65957","23.04418","21.77747","22.81324","23.03101","22.53462","22.51319","22.51319","22.67317","22.36222","22.61579","22.71628","22.46732","22.44004","23.38328","23.50334","24.23919","23.61678","23.64399","22.85531"
"Eif3b","21.83766","21.60611","22.03731","22.04546","21.91073","19.79999","21.14803","20.63760","21.24909","20.04871","19.56846","20.08256","21.19341","20.50517","21.41194","21.07166","20.53221","21.66337","21.29933","22.00020","21.38600","21.69790","21.18138","21.22602","21.30598","20.05499","21.13570","21.43453","21.29933"
"Ap2a1","19.97269","20.43582","20.00211","20.86071","20.00211","18.25838","19.62610","23.73098","24.26586","22.63832","21.35994","17.46424","17.46424","17.44687","17.47046","17.45309","17.39907","20.85824","20.98120","20.07920","20.96286","20.57240","20.52636","21.65434","21.43453","21.50412","22.44004","21.74633","21.79070"
"Dctn1","19.77651","19.08475","19.80605","19.74390","19.61217","19.96870","19.90260","18.71854","16.96361","19.40633","20.10109","20.41178","20.19800","20.12624","20.75624","20.26466","20.63760","21.20047","21.03201","20.67281","20.38990","20.89822","20.81988","20.34849","20.32780","18.50655","20.66773","18.32252","18.73845"
"Coro1c","21.88752","21.77747","22.05427","22.49364","22.24687","22.22069","22.77494","22.71628","22.90556","23.44427","22.52657","23.20028","23.41118","23.41118","23.97166","23.56942","23.54756","22.19673","22.25656","22.19673","22.36222","22.20564","22.30250","21.36460","21.60611","20.92841","21.24909","21.81556","21.51332"
"Clasp2","19.44097","20.12229","19.40633","19.60254","19.46540","18.21654","21.18138","20.45420","22.07521","18.66544","21.45749","17.46424","19.22649","20.34849","19.40196","19.98552","19.78433","21.84371","21.68038","21.45749","21.51931","22.94509","21.21292","20.38104","21.12263","19.95233","20.64874","20.95697","20.96765"
"Eno2","20.24274","21.45749","21.51332","20.19349","18.69644","21.60611","20.98120","20.44849","19.34303","20.68744","19.88274","17.46424","17.46424","17.44687","17.47046","20.85441","19.48289","21.45160","20.97205","20.68183","21.30882","21.18769","21.45749","23.39383","23.38328","23.31487","23.06784","23.31487","23.18063"
"Aldoc","21.64754","21.82088","22.19673","21.53985","21.41194","21.83766","21.30882","21.23385","20.85441","20.54805","19.79110","20.70014","20.58220","20.82518","20.53809","20.15570","21.02111","22.07521","21.58472","21.73328","21.38114","21.75754","20.26067","22.10554","22.49364","21.67073","22.56226","19.28949","20.84687"
"Eif4a1","22.44780","22.26593","22.57611","22.46732","22.46732","22.63832","22.44004","22.78663","20.22436","22.43105","20.91058","22.27738","21.66337","21.95215","21.51332","21.80482","21.92660","22.93515","22.94509","22.62777","22.85531","22.23269","22.70659","21.33497","21.72312","21.23385","21.54945","20.61716","18.44213"
"Rps15","18.90414","19.36145","15.49309","19.70999","19.87754","21.91073","20.87484","20.74995","22.43105","22.31418","16.94984","26.35113","26.46355","26.54609","24.54995","26.61902","26.72857","20.44849","20.64333","21.19341","21.72312","21.13570","21.53985","20.41178","21.62792","21.83766","21.01657","21.95215","22.40693"
"Ank2","18.53466","19.03401","19.51799","18.93839","19.14319","21.18769","21.02646","21.24909","21.38600","21.39569","20.25385","17.46424","17.46424","17.44687","19.34950","17.45309","17.39907","21.12263","20.86550","20.84687","20.05499","20.83714","20.71619","20.68744","19.41838","18.78887","20.17711","19.61217","18.41568"
"Snap25","21.91073","22.02631","22.16226","21.67073","21.98092","22.71628","22.29354","22.49364","22.01899","21.84371","20.90483","20.88933","21.24359","20.97747","20.97747","20.90483","21.33497","22.77494","22.57611","22.18833","22.29354","22.09833","22.15594","23.26437","23.44427","23.10442","22.77494","22.45747","22.06233"
"Epb41l1","20.30803","21.16617","21.30882","20.20545","20.70014","21.67073","21.33497","21.71159","21.73328","20.94028","20.33492","20.48476","20.57833","20.38104","20.41952","20.28256","19.86546","22.34014","22.00921","22.16226","22.35109","22.24687","22.37173","20.78593","20.47899","20.32780","19.50724","17.83732","18.67038"
"Psma1","22.43105","22.12459","22.43105","21.82088","22.78663","20.74182","21.52652","20.83714","21.56904","21.81556","21.76818","22.95782","23.44427","23.38328","23.64399","23.14783","23.50334","20.97747","21.59757","21.56197","21.92660","22.01899","21.95762","21.45160","21.45749","20.84687","21.59029","22.15594","22.30250"
"Gnai1","22.14105","22.35109","22.02631","22.03731","21.94522","21.96829","21.93380","21.65434","16.96361","19.44911","20.52636","20.85441","17.46424","17.44687","20.40570","17.45309","20.87114","21.11363","21.24359","21.16617","20.81648","20.98786","20.53221","21.30598","20.81034","21.09500","20.67281","21.02111","20.80481"
"Tpp2","20.36123","20.92841","20.84149","19.61939","21.14218","17.79917","19.77078","18.06865","16.96361","17.07048","19.46144","22.05427","21.56197","21.34865","22.07521","21.43453","21.99434","20.14354","19.99684","19.91713","19.55690","18.57728","19.34950","19.13844","18.99918","18.47329","19.78433","19.19446","19.14319"
"Gnai3","22.79950","22.94509","22.75162","22.29354","22.67317","22.74305","20.50979","22.51319","16.96361","17.07048","20.24945","19.29446","17.46424","17.44687","17.47046","17.45309","17.39907","20.65909","20.94534","20.47899","20.92297","20.69536","20.78593","19.63079","17.91982","18.23758","18.60977","19.73487","20.25385"
"Hba-a1","24.81568","25.09717","25.22324","24.78624","24.97288","24.19309","25.81626","24.93085","25.37105","25.41426","25.69179","20.61073","21.30598","20.40094","20.81034","21.34865","20.62208","25.14815","25.26410","25.09717","25.02561","25.09717","25.74516","23.42883","24.06793","23.88555","24.93085","24.50763","23.97166"
